"action_id","action","skills","plugins","status","evidence"
"001","Capturer chaque idée du chat, du rapport espagnol et des fichiers locaux dans un registre unique.","S1,S6","P0,P2","completed","See docs/teach/EVIDENCE_REGISTER.md"
"002","Attribuer à chaque idée un identifiant stable, sa source, son intention et sa formulation originale.","S3,S6","P0,P2","completed","See docs/teach/EVIDENCE_REGISTER.md"
"003","Classer chaque idée comme exigence, hypothèse, recherche, décision, risque ou vision future.","S1,S6","P0,P2","completed","See docs/teach/EVIDENCE_REGISTER.md"
"004","Créer la matrice `idée -> lot -> contrat -> test -> preuve -> statut`.","S1,S3","P0,P1","completed","See docs/teach/EVIDENCE_REGISTER.md"
"005","Enregistrer explicitement les idées conservées, reportées, remplacées ou rejetées avec justification.","S1,S4","P0","completed","See docs/teach/EVIDENCE_REGISTER.md"
"006","Fixer les invariants Scholarium : empowerment, dignité, pluralité des forces, provenance et contrôle utilisateur.","S1,S2","P1","completed","See docs/teach/EVIDENCE_REGISTER.md"
"007","Fixer les frontières d’autorité de Codex, Gemini, Synthia, QuaNthoR et des moteurs algorithmiques.","S2,S6","P1,P2","completed","See docs/teach/EVIDENCE_REGISTER.md"
"008","Documenter AlgoQuest comme porte d’entrée éducative, Scholarium comme plateforme sociale et Teach comme domaine adaptatif.","S1,S2","P1","completed","See docs/teach/EVIDENCE_REGISTER.md"
"009","Documenter l’exclusion des usages militaires, disciplinaires autonomes, cliniques et de surveillance cachée.","S2,S4","P1","completed","See docs/teach/EVIDENCE_REGISTER.md"
"010","Créer le registre des décisions d’architecture avec contexte, alternatives et conséquences.","S2,S3","P0","completed","See docs/teach/EVIDENCE_REGISTER.md"
"011","Créer le registre des risques techniques, pédagogiques, juridiques, sociaux et opérationnels.","S4","P0,P1","completed","See docs/teach/EVIDENCE_REGISTER.md"
"012","Construire le tableau maître des 163 actions avec dépendances, preuves et portes de sortie.","S1","P0,P12","completed","See docs/teach/EVIDENCE_REGISTER.md"
"013","Photographier l’état Git de Scholarium, FfeD, pluginpack, FNP-QNN, Synthia, HippoRAG et QuaNTecH-ViD.","S2,S4","P0,P13","completed","See docs/teach/EVIDENCE_REGISTER.md"
"014","Identifier et préserver toutes les modifications et tous les fichiers non suivis appartenant à l’utilisateur.","S2","P0,P12","completed","See docs/teach/EVIDENCE_REGISTER.md"
"015","Inventorier les applications, API, schémas, migrations, tests et documents déjà présents dans Scholarium.","S1,S5","P0,P4","completed","See docs/teach/EVIDENCE_REGISTER.md"
"016","Inventorier les plugins, skills, MCP, connecteurs et commandes réellement disponibles.","S1,S5","P0,P4","completed","See docs/teach/EVIDENCE_REGISTER.md"
"017","Vérifier l’environnement Node, npm, Wrangler, Python et la `.venv` centrale.","S4,S12","P0,P5","completed","See docs/teach/EVIDENCE_REGISTER.md"
"018","Vérifier l’existence et les noms des variables `.env` sans lire ni afficher leurs valeurs.","S4,S12","P0,P5","completed","See docs/teach/EVIDENCE_REGISTER.md"
